Day,Price,10MA,20MA,50MA,100MA,200MA
2520,153.26,149.381,145.946,143.1886,133.97185,122.455625
2519,153.2600,148.434,145.373,142.9192,133.59745,122.172675
2518,153.9900,147.476,144.7915,142.5938,133.21675,121.893075
2517,153.0100,146.53,144.2505,142.2526,132.82875,121.616425
2516,148.9600,145.593,143.767,141.9256,132.43165,121.348525
2515,146.5300,144.924,143.502,141.677,132.08155,121.103525
2514,147.0600,144.515,143.3765,141.4886,131.73745,120.870225
2513,147.5100,143.877,143.262,141.2814,131.37715,120.634075
2512,146.5800,143.246,143.0715,141.0456,131.00155,120.390425
2511,143.6500,142.771,142.9255,140.8209,130.62685,120.151475
2510,143.7900,142.511,142.9395,140.6581,130.28935,119.917575
2509,143.6800,142.312,142.956,140.4827,129.94635,119.685725
2508,144.5300,142.107,142.962,140.2749,129.61475,119.452225
2507,143.6400,141.971,142.7795,140.0267,129.28405,119.212975
2506,142.2700,141.941,142.6295,139.8023,128.96335,118.974475
2505,142.4400,142.08,142.562,139.5977,128.65855,118.740775
2504,140.6800,142.238,142.511,139.3795,128.34645,118.503525
2503,141.2000,142.647,142.469,139.1717,128.05765,118.279575
2502,141.8300,142.897,142.482,138.9293,127.76295,118.051575
2501,141.0500,143.08,142.39,138.6633,127.44525,117.814425
2500,141.8000,143.368,142.372,138.4173,127.13425,117.577125
2499,141.6300,143.6,142.305,138.0083,126.81615,117.328325
2498,143.1700,143.817,142.173,137.6083,126.47095,117.087175
2497,143.3400,143.588,141.9745,137.1839,126.09635,116.851825
2496,143.6600,143.318,141.7645,136.7559,125.74725,116.612875
2495,144.0200,143.044,141.5155,136.3203,125.38855,116.374125
2494,144.7700,142.784,141.2645,135.8393,125.05715,116.129525
2493,143.7000,142.291,141.002,135.3455,124.72005,115.882325
2492,143.6600,142.067,140.784,134.8715,124.38715,115.651575
2491,143.9300,141.7,140.59,134.3939,124.03895,115.418975
2490,144.1200,141.376,140.3415,133.9151,123.69795,115.186625
2489,143.8000,141.01,140.125,133.4327,123.37265,114.952725
2488,140.8800,140.529,139.7845,132.9375,123.04955,114.727875
2487,140.6400,140.361,139.587,132.5049,122.77615,114.521725
2486,140.9200,140.211,139.388,132.0871,122.50695,114.313225
2485,141.4200,139.987,139.1685,131.6509,122.24255,114.103775
2484,139.8400,139.745,138.953,131.2023,121.98425,113.889825
2483,141.4600,139.713,138.796,130.7637,121.76835,113.680225
2482,139.9900,139.501,138.509,130.2667,121.53025,113.461525
2481,140.6900,139.48,138.27675,129.7873,121.29635,113.253875
2480,140.4600,139.307,138.01775,129.2965,121.06005,113.049725
2479,138.9900,139.24,137.74575,128.8037,120.82665,112.849175
2478,139.2000,139.04,137.46075,128.3585,120.61145,112.656275
2477,139.1400,138.813,137.10675,127.9097,120.39495,112.458375
2476,138.6800,138.565,136.77075,127.4721,120.17985,112.252175
2475,139.0000,138.35,136.43875,127.0289,119.96285,112.040925
2474,139.5200,138.161,136.06525,126.5747,119.74625,111.822025
2473,139.3400,137.879,135.60375,126.1255,119.51405,111.595425
2472,139.7800,137.517,135.09075,125.6777,119.28115,111.371525
2471,138.9600,137.0735,134.52825,125.2149,119.02395,111.140075
2470,139.7900,136.7285,134.01775,124.7551,118.77325,110.914675
2469,136.9900,136.2515,133.09575,124.2757,118.50585,110.668325
